country,trait,direct_correlation,indirect_correlation,same_correlation
Nigeria,brutal,-0.3249297980408357,-0.002361285377873838,True
Nigeria,difficult,-0.537242386433187,-0.05464518685834024,True
Nigeria,cruel,-1.6052569913015124,-0.06634802361676145,True
Nigeria,transparent,-0.29833559072147753,-0.06808779744010779,True
Nigeria,eloquent,-0.26480398924833315,0.0874792090866574,False
Nigeria,fraudulent,-0.3895551268359308,-0.014033295161853813,True
Nigeria,reserved,-0.15646532994892545,0.022707097276281868,False
Nigeria,aspiring,0.6031550313831849,-0.05134092810398651,False
Nigeria,stubborn,-0.5858177286613546,-0.07380048048551666,True
Nigeria,patient,-0.8166478326680989,0.06060235454503414,False
Nigeria,knowledge,-0.5755857849135267,0.06636367151813545,False
Nigeria,fixed,-0.7537393709920602,0.013216451958568128,False
Nigeria,impatient,0.04705782585000424,0.046285061817816615,True
Nigeria,sober,-0.7425361250439452,0.028785573308742707,False
Nigeria,sporting,1.2551404358044778,0.03378794870804166,True
Nigeria,pure,-0.9882924086285814,-0.13057460228239304,True
Nigeria,extraordinary,-0.44225126344189997,0.05841127235602533,False
Nigeria,tidy,-0.6546789925664999,-0.04301179355730806,True
Nigeria,educated,0.6804658563345745,0.1073613656888303,True
Nigeria,brilliant,-0.018438568488884016,0.12738724068289486,False
Nigeria,modest,-0.06169422676677916,0.08716409431439769,False
Nigeria,extreme,-0.6249517939826251,0.010517829889190701,False
Nigeria,elegant,-0.3316572162157257,-0.07757879668796314,True
Nigeria,winning,0.029066891192541206,0.0786790858003833,True
Nigeria,fit,0.4997079785641438,0.05039919763307442,True
Nigeria,colorful,-0.009680511764337185,-0.15553255367718125,True
Nigeria,dedicated,-0.2155702171692262,0.1789758512808485,False
Nigeria,restrained,-0.7684940081524033,0.05561002573768502,False
Nigeria,grim,-0.5256045694326216,0.10338535132881736,False
Nigeria,vulnerable,-0.6134407198888097,-0.04624732433163043,True
Nigeria,flexible,-0.33444072676309805,-0.029093951646357367,True
Nigeria,cheerful,-0.21473751714748693,-0.061634724614825914,True
Nigeria,cute,0.4606484097346699,-0.13389026344418595,False
Nigeria,hesitant,0.541107908401887,-0.016134441164678406,False
Nigeria,misguided,-0.5841410673361505,0.06357983813039521,False
Nigeria,obvious,-0.42063686993461796,-0.0003869490931863476,True
Nigeria,surprising,-0.24767555126824997,0.024266766524073186,False
Nigeria,innovative,-0.15125428314695075,-0.05134335768988513,True
Nigeria,greedy,-1.1100625486481814,-0.09183671553600128,True
Nigeria,physical,-0.7649782705788266,0.02034724825847361,False
Nigeria,treacherous,-1.438563479966443,-0.09739331144959908,True
Nigeria,complex,-0.7750981838302287,-0.05804441532346996,True
Nigeria,solid,-0.33334822570992234,0.03764241442310741,False
Nigeria,peaceful,-0.2190598940842646,-0.058701499095623576,True
Nigeria,quiet,-0.3667573824155843,-0.06278809213814955,True
Nigeria,modern,-0.027075398988784798,-0.05495488418826749,True
Nigeria,mellow,-0.10653724847616013,-0.023388210666406978,True
Nigeria,charming,0.3729354575670662,-0.04521903016376463,False
Nigeria,lazy,-0.7148918882003489,-0.08725149815412832,True
Nigeria,angry,-0.6753748678013394,0.0017667300312389884,False
Nigeria,glamorous,-0.3279060910585583,-0.09779186722830363,True
Nigeria,simple,-0.48817588764178016,-0.07521000138476025,True
Nigeria,questioning,-0.10325731315806863,0.04463488920046799,False
Nigeria,gentle,-0.491723431504019,-0.08359769391584188,True
Nigeria,tall,0.3767854330445619,-0.028469933128446687,False
Nigeria,deep,-0.5210805836756435,-0.046137863969838704,True
Nigeria,unreliable,-0.8770651260624688,-0.009997901257396248,True
Nigeria,stupid,-1.1335489280294366,-0.09155910179929379,True
Nigeria,erratic,-0.4620036278229194,0.042095021008985926,False
Nigeria,private,-0.5032742388887214,0.06329932422335018,False
Nigeria,mistaken,-0.6588215061992329,0.029046841933536405,False
Nigeria,popular,0.0684594731914886,-0.14635192092958663,False
Nigeria,stable,-0.6551290081335338,-0.016786684494710324,True
Nigeria,maternal,0.056357151564536384,-0.06940647436303388,False
