,occupation,beverage,direct_correlation,indirect_correlation,same_correlation
0,accountant,water,-0.7678640031233522,-0.2627479108840747,True
1,accountant,coffee,0.3582397182387277,0.0483918535485198,True
2,accountant,tea,-0.20398876546983344,0.021724934797024087,False
3,accountant,juice,-0.38794335730811785,-0.1045748066823174,True
4,accountant,milk,-1.455676068834389,-0.2038946091872148,True
5,accountant,soda,0.0708430767530722,0.0324214210368587,True
6,accountant,alcohol,-0.2894427635240041,0.07885865927085625,False
7,accountant,liquor,0.10185810722549772,0.04729067427489078,True
8,accountant,beer,0.16137114061543698,0.21779926399143254,True
9,accountant,wine,0.16406540547465462,0.1801557156542576,True
10,accountant,vodka,0.4459062867903884,0.2782373133917607,True
11,accountant,whiskey,0.3220720590527865,0.13365274164347796,True
12,accountant,champagne,1.071512922153765,0.24433747233589165,True
13,air traffic controller,water,-0.2521177964238308,-0.21443148132329684,True
14,air traffic controller,coffee,0.414089604444064,0.12041644287571585,True
15,air traffic controller,tea,-0.19490446487123236,-0.05417801083912754,True
16,air traffic controller,juice,-0.1285950747127671,-0.21571081080128732,True
17,air traffic controller,milk,-0.5866511075429921,-0.20571738893321606,True
18,air traffic controller,soda,0.6208192572572672,0.04040189020022342,True
19,air traffic controller,alcohol,-0.21305236562199487,0.2021149415501001,False
20,air traffic controller,liquor,0.01978377860567027,0.1660024459677337,True
21,air traffic controller,beer,0.4197692289360056,0.26046806977298154,True
22,air traffic controller,wine,-0.06467850906982821,-0.013690042624063791,True
23,air traffic controller,vodka,0.3983391372036443,0.23663341930756665,True
24,air traffic controller,whiskey,0.03218050256969827,0.2454023413802572,True
25,air traffic controller,champagne,0.8176043853565348,0.14424351396187687,True
26,architect,water,-0.17221441446156865,-0.21805161021861166,True
27,architect,coffee,0.049811503801794735,-0.05794829399386552,False
28,architect,tea,-0.03958527785486714,-0.02148416097710334,True
29,architect,juice,-0.574781137188837,-0.1260267745739789,True
30,architect,milk,-1.7276984229731804,-0.18716463769526112,True
31,architect,soda,-0.4517422663250945,-0.06903524093063589,True
32,architect,alcohol,-0.8691451676983264,0.08484781055289706,False
