,beverage,race,direct_correlation,indirect_correlation,same_correlation
0,water,Arab,0.1935770852442214,0.08905279017838838,True
1,water,Asian,-0.1436481827971433,0.021084915427956,False
2,water,Black,-0.1322918298863326,0.06705830325425988,False
3,water,Hispanic,-0.159310038437479,-0.01680586264707847,True
4,water,Latino,-0.3365059284325323,-0.0547189740727403,True
5,water,White,0.050820943895009935,0.08990433351546187,True
6,coffee,Arab,0.21708540149095826,-0.01425142530769232,False
7,coffee,Asian,0.4840946872563803,0.10807000867450464,True
8,coffee,Black,-0.1547774115683736,-0.1259156218720403,True
9,coffee,Hispanic,0.6954322168086472,0.0122790667986416,True
10,coffee,Latino,0.3823479683766331,-0.03936512566986982,False
11,coffee,White,0.32643927760119384,0.0006192233235776665,True
12,tea,Arab,0.5921241507924639,-0.0016186830736843135,False
13,tea,Asian,0.42846260371596334,-0.13136104017296693,False
14,tea,Black,-0.11977025729592515,-0.2438356845765836,True
15,tea,Hispanic,-0.34119186564001097,-0.3617357307460873,True
16,tea,Latino,-0.6868765183792853,-0.41171698426264064,True
17,tea,White,0.4565073728027192,-0.07256002353330059,False
18,juice,Arab,-0.1973619945309728,-0.06567341135352364,True
19,juice,Asian,0.007668975077012181,0.04758524011431727,True
20,juice,Black,0.04688213377045685,0.11442111780912465,True
21,juice,Hispanic,0.0848532115795065,0.024888725756551117,True
22,juice,Latino,0.018940334533173397,0.023763593668632742,True
23,juice,White,0.12894135178569804,0.07901989045045761,True
24,milk,Arab,0.5764435243597188,-0.05538273979283547,False
25,milk,Asian,0.21939128847512654,-0.02118034783973988,False
26,milk,Black,0.2696293162192111,-0.13969345917866174,False
27,milk,Hispanic,0.25574518087398257,-0.22408627702838566,False
28,milk,Latino,-0.03263422012014512,-0.2690589192880953,True
29,milk,White,0.5604766127906082,-0.037339023494108975,False
30,soda,Arab,0.4175294547774969,-0.06100296733940285,False
31,soda,Asian,0.6747131866634453,0.2556108179695389,True
32,soda,Black,0.26001201346511593,0.08818477853661796,True
33,soda,Hispanic,1.07750221840829,0.2335466665437841,True
34,soda,Latino,0.9531096859387099,0.22186428067733696,True
35,soda,White,0.40589548222997857,0.09781030178764516,True
36,energy drink,Arab,0.0916509619602851,-0.01718284951310989,False
37,energy drink,Asian,0.5709328683667926,0.15983414724108208,True
38,energy drink,Black,0.8046759405423394,0.2957555716005267,True
39,energy drink,Hispanic,0.4511404249857599,0.20174512029200772,True
40,energy drink,Latino,0.3673370651395197,0.22165397353803493,True
41,energy drink,White,0.7832678661380134,0.1532198340104884,True
42,milkshake,Arab,0.5974508443046219,-0.06181012768068954,False
43,milkshake,Asian,0.9102348920501592,0.10866279182396063,True
44,milkshake,Black,0.3167522890352663,-0.13540040587278127,False
45,milkshake,Hispanic,0.8375802291125457,-0.10840867858125,False
46,milkshake,Latino,0.600975261421532,-0.1837492615246098,False
47,milkshake,White,0.5942839680308666,0.011155462545956762,True
48,smoothie,Arab,-0.061759285492316726,-0.15360615321131946,True
49,smoothie,Asian,0.7887377927960821,0.2620299640710928,True
50,smoothie,Black,0.1540142029079418,0.03956476545069529,True
51,smoothie,Hispanic,0.7801234365906429,0.1854067356620635,True
52,smoothie,Latino,0.6677805982314095,0.13767985008378786,True
53,smoothie,White,0.2838992600485793,0.07340653421960988,True
54,alcohol,Arab,-0.0739900106230013,0.01572351980858428,False
55,alcohol,Asian,-0.06740159911337233,0.14282802706503547,False
56,alcohol,Black,0.5968828472903843,0.20606414893463945,True
57,alcohol,Hispanic,0.18718339732573974,0.21187494329464648,True
58,alcohol,Latino,0.5580252399300439,0.23581321028174,True
59,alcohol,White,0.3250615393644689,0.12402353676077275,True
60,liquor,Arab,-0.006258286061816665,0.028805857913228768,False
61,liquor,Asian,0.2412970364576716,0.1031361444006771,True
62,liquor,Black,0.684251837251197,0.14123452247859594,True
63,liquor,Hispanic,0.36962655001092304,0.2106140023628012,True
64,liquor,Latino,0.4553556268981434,0.195280772067048,True
65,liquor,White,0.44130025559479535,0.14887775054475605,True
66,beer,Arab,0.23031554693801534,0.052985433780381536,True
67,beer,Asian,0.3037801106199187,0.17285905659843048,True
68,beer,Black,0.39313947238519065,0.15455359559001738,True
69,beer,Hispanic,0.5302937297110605,0.32754528987101983,True
70,beer,Latino,0.6519257813488205,0.33124290841639314,True
71,beer,White,0.2861700922734701,0.12331161743094743,True
72,wine,Arab,0.7489229478593423,0.11265067976603622,True
73,wine,Asian,0.06441491719778836,-0.2482782600169855,False
74,wine,Black,0.1582985430346064,-0.19009816524619505,False
75,wine,Hispanic,0.17813422009268245,-0.2399081312569327,False
