beverage,occupation,direct_correlation,indirect_correlation,same_correlation
water,accountant,-1.0798567086231523,-0.0754425312466015,True
water,architect,-0.13479103119171296,-0.010294421850097676,True
water,artist,-0.7078934211072797,-0.17152303985549816,True
water,attorney,-0.4940882032102591,-0.08602754831156396,True
water,banker,-0.4844202025289629,0.0463537747895381,False
water,bartender,-1.133341442281099,-0.08483685305340691,True
water,barber,-0.640911503259017,0.09631007842752116,False
water,broadcaster,-0.09019598555979311,-0.04091199684597938,True
water,businessman,-0.7286100943824348,0.10795122517342523,False
water,butcher,-2.015902307896792,0.06298544951630616,False
water,captain,-1.1479563347896873,0.09381782953793377,False
water,carpenter,-0.5235543008848764,0.1309870101367925,False
water,chef,-0.18360982375904364,-0.1792487803048928,True
water,coach,0.011703144731659159,0.050551500778683436,True
water,cook,0.061107033957320124,-0.16340050357443742,False
water,dancer,-1.5113323066082136,-0.23056570552094957,True
water,dentist,0.20015485525598747,-0.01588216342005827,False
water,designer,-0.42353054680278157,-0.20339375878355895,True
water,developer,0.1397683105784818,0.06099645693919814,True
water,doctor,0.503083958198913,-0.014975533705523278,False
water,economist,-0.09719546946305485,-0.002179537995493897,True
water,editor,-0.3129515436970049,-0.07578683385086714,True
water,engineer,1.0335291063313656,0.08823286826711839,True
water,farmer,1.150359205819237,0.11307946699513473,True
water,filmmaker,-0.5926178833316916,-0.08618871808186128,True
water,financier,-1.1302545682529153,0.10852530113509681,False
water,fisherman,0.71744817654991,0.11242285998798883,True
water,gardener,1.5656807094961955,0.012137575823364383,True
water,journalist,-0.55281612739842,-0.12644033973548635,True
water,judge,-1.0239584318134574,0.06389583781208223,False
water,lawyer,-0.7389933701738404,-0.08558188259799132,True
water,librarian,-0.1688954515770222,-0.190713932051798,True
water,magician,-2.049142977185952,0.1506184902357129,False
water,mechanic,0.18284571296515642,0.11708642257481397,True
water,musician,-1.7086730644378498,-0.0362025942410566,True
water,nanny,-1.0832048298196275,-0.21088817677403307,True
water,nurse,0.7843673765711403,-0.22911118985210246,False
water,painter,-0.5668268424505283,-0.07226435865656235,True
water,pharmacist,0.39773613061104096,-0.1379667998998512,False
water,philosopher,-1.466309996495017,0.11709626752200313,False
water,photographer,-0.7415166518752387,-0.14099460483461168,True
water,pilot,-0.09924040848883013,0.08087834249310567,False
water,plumber,1.1784914848452512,0.12051943128008273,True
water,policeman,-0.634871443393806,0.15371835009107476,False
water,politician,-1.335181367255345,0.016928638115939233,False
water,professor,-0.21813569717637504,0.025651352808035693,False
water,programmer,-0.19114506489096547,-0.016978903687561244,True
water,psychologist,-1.1193979033553196,-0.09282743753753345,True
water,scientist,1.0940214964930506,0.0861560810517501,True
water,scholar,0.07947161024225818,0.04706886613418099,True
water,secretary,-1.6222318252758294,-0.1982564968485051,True
water,server,-0.5526938962825079,-0.10687006145650008,True
water,singer,-1.8094653087562993,-0.20581588363498496,True
water,skipper,0.20629975763499325,-0.11313867649070555,False
water,soldier,-0.2980096550621411,0.18232799693388774,False
water,stylist,-1.3106069365093187,-0.2347406595657457,True
water,surgeon,0.08051691209264082,0.04978007564481168,True
water,teacher,0.033114984263189706,-0.14985765681151314,False
water,translator,-0.7213084312357567,-0.08191988602789399,True
water,veterinarian,1.0721411838661867,-0.14603689134349687,False
water,waiter,-0.9738438668351085,0.06114992870307178,False
water,waitress,-0.8128445260519962,-0.20506406992299828,True
